순번,관리기관명,소재지도로명주소,설치목적구분,카메라대수,우편번호,행정동명
225,관악구청,남현4길,다목적,5,8805,남현동
226,관악구청,남부순환로144길,다목적,1,8771,미성동
227,관악구청,난우길,다목적,5,8849,미성동
228,관악구청,난우12길,다목적,1,8850,미성동
229,관악구청,미성길,다목적,1,8866,미성동
230,관악구청,당곡길,다목적,1,8710,보라매동
231,관악구청,보라매로38,다목적,2,NA,보라매동
232,관악구청,봉천로275,다목적,4,NA,보라매동
233,관악구청,관악로285,다목적,4,NA,성현동
234,관악구청,"양녕로74,구암초교부근",다목적,4,NA,성현동
235,관악구청,문성로30길,다목적,1,8843,신원동
236,관악구청,청림3길,다목적,1,8732,청림동
237,관악구청,솔밭로21,다목적,3,NA,행운동
238,관악구청,봉천로497,다목적,1,NA,행운동
239,관악구청,행운1길,다목적,1,8737,행운동
240,관악구청,은천로24길,다목적,5,8747,중앙동
241,관악구청,호암로498,다목적,1,NA,삼성동
242,관악구청,당곡2가길,다목적,3,8710,보라매동
243,관악구청,청림5길,다목적,4,8734,청림동
244,관악구청,"남부순환로1761,남서울유치원부근",다목적,5,NA,은천동
245,관악구청,행운1라길,다목적,1,8736,행운동
246,관악구청,은천로25길,다목적,4,8729,성현동
247,관악구청,구암길,다목적,3,8725,성현동
248,관악구청,청림5길,다목적,1,8734,청림동
249,관악구청,광신길,다목적,1,8848,삼성동
250,관악구청,"호암로545,미림어린이집부근",다목적,4,NA,삼성동
251,관악구청,양녕로2가길,다목적,5,8747,중앙동
252,관악구청,난곡로35길,다목적,1,8858,난곡동
253,관악구청,관악로461,다목적,4,NA,오류
254,관악구청,낙성대역길,다목적,5,8793,인헌동
255,관악구청,남부순환로256길,다목적,4,8803,남현동
256,관악구청,남현2길,다목적,3,8804,남현동
257,관악구청,봉천로505,다목적,4,NA,행운동
258,관악구청,행운1라길,다목적,3,8736,행운동
259,관악구청,국회단지길,다목적,3,8714,은천동
260,관악구청,청룡2길,다목적,4,8785,청룡동
261,관악구청,참숯5길,다목적,5,8829,청룡동
262,관악구청,문성로38라길,다목적,4,8843,신원동
263,관악구청,대학7길,다목적,4,8818,대학동
264,관악구청,낙성대로4길,다목적,5,8790,낙성대동
265,관악구청,밤골길,다목적,5,8848,삼성동
266,관악구청,광신길,다목적,3,8848,삼성동
267,관악구청,난곡로186,다목적,3,NA,난곡동
268,관악구청,난곡로25가길,다목적,3,8858,난곡동
269,관악구청,법원단지2길,다목적,4,8852,난곡동
270,관악구청,난우길,다목적,4,8849,미성동
271,관악구청,광신길,다목적,1,8848,삼성동
272,관악구청,당곡2가길,다목적,3,8710,보라매동
273,관악구청,양녕로6나길,다목적,4,8746,중앙동
274,관악구청,청림3길,다목적,4,8732,청림동
275,관악구청,남부순환로151길,다목적,5,8762,신사동
276,관악구청,양녕로6다길,다목적,4,8746,중앙동
277,관악구청,청림3다길,다목적,4,8732,청림동
278,관악구청,관악로125,다목적,4,NA,청룡동
279,관악구청,낙성대동,다목적,4,NA,낙성대동
280,관악구청,남부순환로260길,다목적,4,8803,남현동
281,관악구청,관천로11길,다목적,5,8762,신사동
282,관악구청,조원로2길,다목적,5,8768,조원동
283,관악구청,남부순환로1455,다목적,4,NA,조원동
284,관악구청,난우10길,다목적,3,8850,미성동
285,관악구청,미성길,다목적,3,8866,미성동
286,관악구청,남부순환로170길,다목적,4,8774,신원동
287,관악구청,난곡로178,다목적,4,NA,난곡동
288,관악구청,신림동,다목적,4,NA,신림동
289,관악구청,동광로49-31,다목적,5,NA,오류
290,관악구청,문성로212,다목적,4,NA,신원동
291,관악구청,문성로28길,다목적,4,8842,신원동
292,관악구청,대학7길,다목적,5,8818,대학동
293,관악구청,봉천로41길,다목적,5,8748,중앙동
294,관악구청,신림동,다목적,3,NA,신림동
295,관악구청,신림로28길,다목적,4,8838,서림동
296,관악구청,복은길,다목적,5,8835,서림동
297,관악구청,복은7길,다목적,4,8835,서림동
298,관악구청,난곡로45길,다목적,4,8864,미성동
299,관악구청,남부순환로144길,다목적,5,8771,미성동
300,관악구청,문성로206,다목적,5,NA,신원동
301,관악구청,관악로14길,다목적,4,8788,낙성대동
302,관악구청,남부순환로234길,다목적,5,8789,낙성대동
303,관악구청,낙성대로12,다목적,1,NA,낙성대동
304,관악구청,청림6길,다목적,1,8734,청림동
305,관악구청,법원단지21길,다목적,5,8852,난곡동
306,관악구청,법원단지길,다목적,3,8850,미성동
307,관악구청,법원단지22길,다목적,1,8853,난곡동
308,관악구청,난곡로34다길,다목적,1,8854,난곡동
309,관악구청,난곡로26나길,다목적,1,8856,난곡동
310,관악구청,난곡로26나길,다목적,5,8856,난곡동
311,관악구청,난곡로35나길,다목적,1,8858,난곡동
312,관악구청,난향길,다목적,5,8859,난향동
313,관악구청,난향2길,다목적,5,8859,난향동
314,관악구청,난곡로9길,다목적,1,8859,난향동
315,관악구청,남현12길,다목적,5,8803,남현동
316,관악구청,남부순환로260길,다목적,4,8803,남현동
317,관악구청,남현12길,다목적,5,8803,남현동
318,관악구청,남현길,다목적,4,8806,남현동
319,관악구청,남현6길,다목적,1,8804,남현동
320,관악구청,호암로22길,다목적,5,8819,대학동
321,관악구청,대학6길,다목적,5,8813,대학동
322,관악구청,신림로67,다목적,3,NA,대학동
323,관악구청,신림로3가길,다목적,4,8814,대학동
324,관악구청,대학10길,다목적,1,8819,대학동
325,관악구청,난곡로52길,다목적,4,8772,미성동
326,관악구청,법원단지5나길,다목적,2,8851,미성동
327,관악구청,미성3길,다목적,5,8865,미성동
328,관악구청,문성로16길,다목적,3,8864,미성동
329,관악구청,미성7길,다목적,5,8865,미성동
330,관악구청,봉천로13길,다목적,4,8721,보라매동
331,관악구청,보라매로3길,다목적,1,8708,보라매동
332,관악구청,보라매로14-5,다목적,4,NA,보라매동
333,관악구청,당곡6길,다목적,1,8710,보라매동
334,관악구청,당곡6길,다목적,4,8710,보라매동
