"","관리기관명","소재지도로명주소","설치목적구분","카메라대수","우편번호","행정동명"
"57","관악구청","법원단지5나길","다목적",1,"08851","미성동"
"58","관악구청","미성동","다목적",1,NA,"미성동"
"59","관악구청","미성동","다목적",1,NA,"미성동"
"60","관악구청","난곡로26길","다목적",1,"08846","삼성동"
"61","관악구청","난곡로26길","다목적",1,"08846","삼성동"
"62","관악구청","인헌길","다목적",1,"08793","인헌동"
"63","관악구청","삼성동","다목적",1,NA,"삼성동"
"64","관악구청","보라매동","다목적",1,NA,"보라매동"
"65","관악구청","보라매동","다목적",1,NA,"보라매동"
"66","관악구청","보라매동","다목적",1,NA,"보라매동"
"67","관악구청","봉천로41길","다목적",1,"08748","중앙동"
"68","관악구청","봉천로41길","다목적",1,"08748","중앙동"
"69","관악구청","대학동","다목적",1,NA,"대학동"
"70","관악구청","대학동","다목적",1,NA,"대학동"
"71","관악구청","대학동","다목적",1,NA,"대학동"
"72","관악구청","대학동","다목적",1,NA,"대학동"
"73","관악구청","대학동","다목적",2,NA,"대학동"
"74","관악구청","대학동","다목적",1,NA,"대학동"
"75","관악구청","청룡동","다목적",1,NA,"청룡동"
"76","관악구청","청룡동","다목적",1,NA,"청룡동"
"77","관악구청","청룡동","다목적",1,NA,"청룡동"
"78","관악구청","양산길","다목적",1,"08846","서림동"
"79","관악구청","승방1길","다목적",1,"08808","남현동"
"80","관악구청","봉천로33가길","다목적",1,"08752","은천동"
"81","관악구청","당곡2길","다목적",1,"08711","보라매동"
"82","관악구청","법원단지18길","다목적",1,"08853","난곡동"
"83","관악구청","난곡동","다목적",1,NA,"난곡동"
"84","관악구청","남현동","다목적",1,NA,"남현동"
"85","관악구청","대학동","다목적",1,NA,"대학동"
"86","관악구청","미성동","다목적",1,NA,"미성동"
"87","관악구청","미성동","다목적",1,NA,"미성동"
"88","관악구청","미성동","다목적",1,NA,"미성동"
"89","관악구청","보라매동","다목적",1,NA,"보라매동"
"90","관악구청","은천동","다목적",1,NA,"은천동"
"91","관악구청","성현동","다목적",1,NA,"성현동"
"92","관악구청","청룡동","다목적",1,NA,"청룡동"
"93","관악구청","청룡동","다목적",1,NA,"청룡동"
"94","관악구청","청룡동","다목적",1,NA,"청룡동"
"95","관악구청","청룡산산175-27청룡산공원운동","다목적",1,NA,"청룡산산175-27청룡산공원운동"
"96","관악구청","남부순환로251길","다목적",1,"08802","행운동"
"97","관악구청","남부순환로251길","다목적",1,"08802","행운동"
"98","관악구청","남현길","다목적",1,"08806","남현동"
"99","관악구청","신림로23관악산공원주차장","다목적",1,NA,NA
"100","관악구청","국회단지길","다목적",1,"08714","은천동"
"101","관악구청","국회단지길","다목적",1,"08714","은천동"
"102","관악구청","국회단지22길","다목적",1,"08714","은천동"
"103","관악구청","국회단지22길","다목적",1,"08714","은천동"
"104","관악구청","조원로16가길","다목적",1,"08767","조원동"
"105","관악구청","조원로16가길","다목적",1,"08767","조원동"
"106","관악구청","미성10길","다목적",1,"08866","미성동"
"107","관악구청","난향길","다목적",1,"08859","난향동"
"108","관악구청","난향길","다목적",1,"08859","난향동"
"109","관악구청","남부순환로168길","다목적",1,"08774","신원동"
"110","관악구청","호암로22길","다목적",1,"08819","대학동"
"111","관악구청","낙성대로77낙성대공원관리사무소","다목적",16,NA,NA
